'0:00,0.8160
'0:00.1,0.8149
'0:00.2,0.8160
'0:00.3,0.8164
'0:00.4,0.8169
'0:00.5,0.8168
'0:00.6,0.8177
'0:00.7,0.8182
'0:00.8,0.8176
'0:00.9,0.8165
'0:01,0.8133
'0:01.1,0.8077
'0:01.2,0.8071
'0:01.3,0.8067
'0:01.4,0.8063
'0:01.5,0.8061
'0:01.6,0.8060
'0:01.7,0.8060
'0:01.8,0.8056
'0:01.9,0.8055
'0:02,0.8053
'0:02.1,0.8052
'0:02.2,0.8050
'0:02.3,0.8050
'0:02.4,0.8050
'0:02.5,0.8050
'0:02.6,0.8047
'0:02.7,0.8045
'0:02.8,0.8045
'0:02.9,0.8044
'0:03,0.8043
'0:03.1,0.8040
'0:03.2,0.8039
'0:03.3,0.8039
'0:03.4,0.8038
'0:03.5,0.8036
'0:03.6,0.8035
'0:03.7,0.8035
'0:03.8,0.8035
'0:03.9,0.8038
'0:04,0.8042
'0:04.1,0.8046
'0:04.2,0.8051
'0:04.3,0.8060
'0:04.4,0.8069
'0:04.5,0.8076
'0:04.6,0.8086
'0:04.7,0.8095
'0:04.8,0.8104
'0:04.9,0.8115
'0:05,0.8126
'0:05.1,0.8127
'0:05.2,0.8127
'0:05.3,0.8128
'0:05.4,0.8137
'0:05.5,0.8141
'0:05.6,0.8142
'0:05.7,0.8147
'0:05.8,0.8142
'0:05.9,0.8132
'0:06,0.8131
'0:06.1,0.8132
'0:06.2,0.8139
'0:06.3,0.8137
'0:06.4,0.8134
'0:06.5,0.8137
'0:06.6,0.8137
'0:06.7,0.8131
'0:06.8,0.8129
'0:06.9,0.8121
'0:07,0.8112
'0:07.1,0.8107
'0:07.2,0.8096
'0:07.3,0.8063
'0:07.4,0.8041
'0:07.5,0.8043
'0:07.6,0.8073
'0:07.7,0.8110
'0:07.8,0.8112
'0:07.9,0.8105
'0:08,0.8112
'0:08.1,0.8110
'0:08.2,0.8104
'0:08.3,0.8095
'0:08.4,0.8090
'0:08.5,0.8088
'0:08.6,0.8091
'0:08.7,0.8093
'0:08.8,0.8095
'0:08.9,0.8098
'0:09,0.8100
'0:09.1,0.8105
'0:09.2,0.8112
'0:09.3,0.8121
'0:09.4,0.8127
'0:09.5,0.8136
'0:09.6,0.8146
'0:09.7,0.8154
'0:09.8,0.8161
'0:09.9,0.8169
'0:10,0.8178
'0:10.1,0.8188
'0:10.2,0.8204
'0:10.3,0.8217
'0:10.4,0.8227
'0:10.5,0.8233
'0:10.6,0.8234
'0:10.7,0.8239
'0:10.8,0.8243
'0:10.9,0.8246
'0:11,0.8249
'0:11.1,0.8249
'0:11.2,0.8248
'0:11.3,0.8247
'0:11.4,0.8245
'0:11.5,0.8247
'0:11.6,0.8250
'0:11.7,0.8251
'0:11.8,0.8252
'0:11.9,0.8256
'0:12,0.8257
'0:12.1,0.8248
'0:12.2,0.8239
'0:12.3,0.8233
'0:12.4,0.8234
'0:12.5,0.8236
'0:12.6,0.8239
'0:12.7,0.8242
'0:12.8,0.8242
'0:12.9,0.8242
'0:13,0.8239
'0:13.1,0.8237
'0:13.2,0.8236
'0:13.3,0.8234
'0:13.4,0.8233
'0:13.5,0.8232
'0:13.6,0.8228
'0:13.7,0.8225
'0:13.8,0.8222
'0:13.9,0.8219
'0:14,0.8213
'0:14.1,0.8208
'0:14.2,0.8205
'0:14.3,0.8204
'0:14.4,0.8201
'0:14.5,0.8184
'0:14.6,0.8154
'0:14.7,0.8132
'0:14.8,0.8114
'0:14.9,0.8122
'0:15,0.8138
'0:15.1,0.8139
'0:15.2,0.8142
'0:15.3,0.8146
'0:15.4,0.8150
'0:15.5,0.8152
'0:15.6,0.8154
'0:15.7,0.8155
'0:15.8,0.8157
'0:15.9,0.8163
'0:16,0.8167
'0:16.1,0.8165
'0:16.2,0.8167
